slug,difficulty,id,lang
combine-two-tables,Easy,175,SQL
second-highest-salary,Medium,176,SQL
nth-highest-salary,Medium,177,SQL
rank-scores,Medium,178,SQL
consecutive-numbers,Medium,180,SQL
employees-earning-more-than-their-managers,Easy,181,SQL
duplicate-emails,Easy,182,SQL
customers-who-never-order,Easy,183,SQL
department-highest-salary,Medium,184,SQL
department-top-three-salaries,Hard,185,SQL
delete-duplicate-emails,Easy,196,SQL
rising-temperature,Easy,197,SQL
game-play-analysis-i,Easy,511,SQL
find-customer-referee,Easy,584,SQL
customer-placing-the-largest-number-of-orders,Easy,586,SQL
big-countries,Easy,595,SQL
sales-person,Easy,607,SQL
tree-node,Medium,608,SQL
swap-salary,Easy,627,SQL
actors-and-directors-who-cooperated-at-least-three-times,Easy,1050,SQL
sales-analysis-iii,Easy,1084,SQL
user-activity-for-the-past-30-days-i,Easy,1141,SQL
article-views-i,Easy,1148,SQL
market-analysis-i,Medium,1158,SQL
capital-gainloss,Medium,1393,SQL
top-travellers,Easy,1407,SQL
group-sold-products-by-the-date,Easy,1484,SQL
patients-with-a-condition,Easy,1527,SQL
customer-who-visited-but-did-not-make-any-transactions,Easy,1581,SQL
bank-account-summary-ii,Easy,1587,SQL
fix-names-in-a-table,Easy,1667,SQL
daily-leads-and-partners,Easy,1693,SQL
find-followers-count,Easy,1729,SQL
find-total-time-spent-by-each-employee,Easy,1741,SQL
recyclable-and-low-fat-products,Easy,1757,SQL
rearrange-products-table,Easy,1795,SQL
calculate-special-bonus,Easy,1873,SQL
the-latest-login-in-2020,Easy,1890,SQL
employees-with-missing-information,Easy,1965,SQL
